videoId,publishedTime,durationSec,viewCount,likeCount,dislikeCount,commentCount
O5X3bnTI1Go,17-05-2020 12:00,235,320360,13976,25966,3175
bTPt1voMr8g,17-05-2020 09:07,189,277845,33600,1645,3313
#NAME?,17-05-2020 10:39,376,62515,2334,373,291
g4Xa7WwOFw0,17-05-2020 05:30,140,117328,6043,604,685
tXIHXccXcCg,16-05-2020 08:31,20,996968,50636,2307,2712
IQdXudfGq6U,16-05-2020 15:00,234,169983,4182,839,736
6srsdkSZlbU,16-05-2020 12:03,277,164096,3950,668,780
Pof8ML2CJV4,15-05-2020 11:00,1367,557365,31298,2012,2689
OvpM2OMz53Y,14-05-2020 06:31,206,327618,12757,2062,1523
Nw5pqstBc8w,14-05-2020 14:00,354,178777,4111,897,876
Pe3OD9bL9K8,14-05-2020 10:58,278,57025,833,383,241
9A9ECVN1mRY,15-05-2020 05:30,281,282699,6919,889,894
Pc5E85h1NcM,13-05-2020 14:58,252,132267,2925,732,842
EHj51Hun6sY,13-05-2020 11:30,293,207857,5239,638,822
jH4_GTRUC14,12-05-2020 11:00,297,157488,2701,266,332
mS9J-a5W1Xc,12-05-2020 14:11,247,280877,6126,889,1203
u7hfwX81bY4,12-05-2020 06:03,344,235048,5620,518,1303
cS5O8wrRPns,11-05-2020 13:16,320,334714,6720,866,1267
T_NtMcaCEYE,11-05-2020 05:33,203,18184693,408026,28779,16037
CNZMIhckaA0,10-05-2020 07:05,375,287777,5803,685,1062
ORRArCuMWcI,09-05-2020 14:18,280,184415,2842,905,930
z1_YqTE0y0Y,09-05-2020 05:30,132,983149,50045,2149,2580
qNq3e-BS8WE,09-05-2020 09:54,270,57082,972,367,406
zNhrZgTgukM,09-05-2020 11:46,188,401909,17791,1634,1698
xMint7BOpJc,13-05-2020 05:30,244,309441,15803,951,1396
4AYaACtQplA,08-05-2020 10:39,303,176369,3790,755,1022
5v6I0AHPhM8,08-05-2020 13:33,261,316513,6051,1417,1040
Rgn2FvSIXsI,08-05-2020 05:31,25,1314819,38757,4589,2089
PoEcAL4doNE,07-05-2020 14:15,335,38892,520,619,467
lqmpzlvmPWY,07-05-2020 09:15,336,249871,5856,956,1336
PonZnw2nrCc,07-05-2020 06:07,289,212659,3758,731,942
j3Pj7OFq2rA,05-05-2020 14:12,321,372648,12754,1280,1194
_bT3FsN-zwA,05-05-2020 11:30,198,440233,12099,1394,1038
fjsw93axkpw,06-05-2020 11:34,495,316861,8386,799,1346
MkzrFztgYLw,06-05-2020 06:00,233,218796,4299,733,884
tJ1JRXVhe6c,05-05-2020 08:30,308,111702,2195,427,333
eN31tKAH2aw,05-05-2020 05:31,602,1280373,32043,3221,3558
Mi9aM2HaY3I,04-05-2020 05:45,263,10039596,156542,14518,24355
fqhuilZn8XA,05-05-2020 12:30,614,38716,1121,323,272
AjPfYrTzZco,06-05-2020 12:30,438,80900,3329,780,659
GHFc9DxGj-Q,04-05-2020 13:04,530,158741,5169,1285,1199
rHcuTD181EM,03-05-2020 09:30,320,252907,7743,958,1397
VbiVF3_XU6E,03-05-2020 12:30,301,330769,11671,1047,1521
aPHsp9X2mBE,04-05-2020 10:30,264,248014,4854,653,1207
bQNmdF2okG4,03-05-2020 05:30,253,914552,43106,13396,4075
8jzL0-6H3WA,02-05-2020 10:33,1381,403903,13282,737,1247
yQfvVMGtIbk,01-05-2020 13:20,1611,607736,40098,783,2815
SOCk52DLSAU,02-05-2020 06:31,234,6434342,226016,10617,8024
LtuLFqRBytg,01-05-2020 14:00,229,114235,1726,601,462
2DAP3svHl04,01-05-2020 10:17,352,201545,3804,561,501
Pw7FCMrA-iI,01-05-2020 06:07,252,357774,11546,1131,1080
LPdP3PY4EUU,30-04-2020 11:30,324,307897,7990,1037,1007
zRuW0tlCQOg,30-04-2020 10:30,393,31671,355,255,119
4uRmaOdvZVk,27-04-2020 13:24,353,86603,1021,335,361
b_sCZbYyuO4,27-04-2020 15:01,297,292489,4651,661,624
miAwePWyV78,29-04-2020 12:30,332,311225,4847,1119,809
jMf0aLkxhr8,27-04-2020 09:30,414,110949,2373,509,723
oAIdRdT1-iw,28-04-2020 05:30,253,16333326,397032,14621,8834
H39werth1qs,26-04-2020 06:35,302,713709,16403,1101,797
RzgezQh6900,26-04-2020 13:32,289,72223,970,614,459
VV7zQP705EI,26-04-2020 09:30,286,283805,8318,942,969
bBj4GW1yIUg,25-04-2020 16:06,352,161193,3055,535,551
mQ1iIFuaOR8,24-04-2020 14:25,326,164083,3352,730,522
yqGzu8fOlus,25-04-2020 11:45,815,202824,7298,950,752
sJPkM45yf54,24-04-2020 11:30,626,267848,10117,939,993
DTAnH0AFPAo,24-04-2020 05:32,682,373405,33309,711,1694
uJEOjol9e1I,24-04-2020 06:02,142,318074,25687,1221,1953
aLpJiSDxJls,23-04-2020 06:31,34,269418,14886,596,999
BuZsBw4Wcdg,22-04-2020 10:52,211,612461,23159,1607,1810
Ed9lJhknEQU,29-04-2020 05:38,491,124117,3126,488,649
pnmT_kQ5-68,29-04-2020 11:30,685,134183,2868,506,676
rmVdVJZBaHE,28-04-2020 11:30,755,129828,3765,518,738
TmEw5fpKK58,27-04-2020 05:30,512,133223,3726,529,537
Cb6wuzOurPc,24-04-2020 09:30,340,138797,3166,237,414
1yf6htijDfM,28-04-2020 14:32,832,172770,6986,713,1323
P8ovs8Nf-j0,26-04-2020 11:30,958,166888,6875,506,792
F1wMY1AeTO4,24-04-2020 02:30,201,200797,6790,518,778
UXZIUaaARIo,27-04-2020 07:15,173,190832,4095,5849,756
C3OzDiHXOhU,23-04-2020 09:36,177,152825,3408,518,467
lyu8v_uHclU,22-04-2020 14:47,189,440461,9105,2388,1256
E7LG5ZgGIxM,25-04-2020 05:31,215,9630242,134648,17633,9728
x0HzGDBR88g,21-04-2020 12:39,294,192343,3783,1039,882
REHvIC0qHD8,21-04-2020 08:07,97,216243,9844,694,1045
rTYlc-YVVgc,21-04-2020 07:15,366,325274,8681,916,1120
hCsY8T0uBGA,22-04-2020 06:54,313,387238,8624,691,1120
fFRW8Fcl7HI,26-04-2020 05:30,543,146191,5741,432,939
HYDsbDiOxpA,23-04-2020 13:30,766,70133,3231,453,568
tgdpGCyyVEs,25-04-2020 08:41,980,135788,4683,438,647
igHo90Hv6Lk,27-04-2020 12:30,586,147773,5391,463,618
_03kGEd5nOo,20-04-2020 05:32,235,30522808,942562,214040,100808
dD1tY0zhd2o,23-04-2020 10:32,863,237642,9495,944,1105
3p4MeH2gCvw,18-04-2020 17:08,156,991595,108945,2059,5389
c_CIqCRJoc0,20-04-2020 10:53,206,215310,4203,1408,1490
QHeLR7Z2xmM,18-04-2020 12:43,282,355489,6003,1189,620
kE0vJ04jql0,19-04-2020 07:54,242,249043,4420,2010,1305
LxMflwcBDK4,18-04-2020 11:01,27,1291417,66933,27333,11105
bMsx5uYtq8c,17-04-2020 13:19,330,32353,657,663,457
chNpkNQpiI0,18-04-2020 07:01,411,207602,4023,616,822
YnpJXfcSzOM,16-04-2020 06:33,190,4552418,,,932
AWsXI_zJpLw,16-04-2020 10:00,241,156207,3508,629,668
PNFwltTSLfs,17-04-2020 07:12,181,294049,6598,911,1253
wc8h0MfIX6w,16-04-2020 14:02,255,308632,6502,1118,1024
fbZpz9KbiAY,14-04-2020 10:00,188,27378658,1101120,81784,102947
yidaL9xDlk8,14-04-2020 07:27,287,298341,7585,806,1085
W5HAtRwy94I,15-04-2020 09:29,215,289756,5629,915,1075
nrZGQEnOGog,13-04-2020 12:00,225,153391,2959,535,582
g3tpw8OulMk,13-04-2020 14:00,291,381115,8827,1381,1235
lcQ3U5bEaPc,13-04-2020 13:30,344,53571,1203,411,205
vhXJM7_dBTY,12-04-2020 13:30,252,241001,4837,888,762
Xyhfk-leRYk,13-04-2020 05:30,205,2260696,19764,2336,1386
kvBDSquAyu4,12-04-2020 08:00,279,496770,10323,904,1173
ojmvUqgCwGw,12-04-2020 11:42,272,1145852,18947,1510,1454
REBdR7Mjne4,11-04-2020 10:53,19,3030403,138427,6501,7948
PRsKXb4e_Bo,11-04-2020 12:28,1009,5828690,40774,3880,5761
gzHy-AJFB-k,10-04-2020 13:00,207,226023,4455,1165,885
i9WEjQPZ34c,10-04-2020 07:14,305,648457,14600,1580,2108
pXZFuJKhBKA,09-04-2020 08:18,334,192343,4112,738,944
hQ6E1TkfzKA,08-04-2020 05:30,193,35863719,,,26970
JhHRnBc1ViU,07-04-2020 11:30,312,105524,1259,479,331
AX7t8ZwroHQ,07-04-2020 13:30,237,862123,31186,1268,2073
ybVXoZsegiY,07-04-2020 08:00,206,504321,14215,2200,936
-4RRc3J89XU,07-04-2020 06:30,16,2912483,82556,6976,3470
JuECmX5XSHs,06-04-2020 12:39,290,241365,6425,970,1093
